É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/06/09 07:55:43

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
2020/3/7 18:00:00,8.4,8,1,0.0,0,8,1,2.3,8,ìåñkìå,8,1,1020.2,8,1,66,8,1,7.3,8,1,4,8,1,10,8,1
2020/3/7 19:00:00,7.7,8,1,0.0,0,8,1,2.9,8,ñkìå,8,1,1020.5,8,1,77,8,1,8.1,8,1,,0,1,,0,1
2020/3/7 20:00:00,7.8,8,1,0.0,0,8,1,2.2,8,ñkìå,8,1,1020.2,8,1,74,8,1,7.8,8,1,,0,1,,0,1
2020/3/7 21:00:00,6.7,8,1,0.5,0,8,1,2.5,8,ñkìå,8,1,1020.3,8,1,89,8,1,8.7,8,1,10,8,1,10,8,1
2020/3/7 22:00:00,6.8,8,1,0.0,0,8,1,1.9,8,ñk,8,1,1020.2,8,1,86,8,1,8.5,8,1,,0,1,,0,1
2020/3/7 23:00:00,6.2,8,1,0.5,0,8,1,3.5,8,ñkêº,8,1,1019.6,8,1,94,8,1,8.9,8,1,,0,1,,0,1
2020/3/8 00:00:00,6.0,8,1,0.5,0,8,1,3.0,8,ñkêº,8,1,1019.3,8,1,96,8,1,9.0,8,1,,0,1,,0,1
2020/3/8 1:00:00,5.9,8,1,0.5,0,8,1,2.6,8,ñkñkêº,8,1,1018.7,8,1,97,8,1,9.0,8,1,,0,1,,0,1
2020/3/8 2:00:00,5.9,8,1,0.0,0,8,1,3.0,8,ñkñkêº,8,1,1017.9,8,1,96,8,1,8.9,8,1,,0,1,,0,1
2020/3/8 3:00:00,6.0,8,1,0.0,0,8,1,3.0,8,ñkñkêº,8,1,1017.5,8,1,96,8,1,9.0,8,1,10,8,1,10,8,1
2020/3/8 4:00:00,6.1,8,1,0.0,0,8,1,2.0,8,ñkñkêº,8,1,1017.2,8,1,95,8,1,8.9,8,1,,0,1,,0,1
2020/3/8 5:00:00,5.7,8,1,0.0,0,8,1,2.2,8,ñkñkìå,8,1,1016.7,8,1,95,8,1,8.7,8,1,,0,1,,0,1
2020/3/8 6:00:00,5.8,8,1,0.0,0,8,1,1.8,8,ñkñkìå,8,1,1016.9,8,1,93,8,1,8.6,8,1,4,8,1,10,8,1
2020/3/8 7:00:00,5.9,8,1,0.0,0,8,1,1.8,8,ñkêº,8,1,1017.1,8,1,93,8,1,8.6,8,1,,0,1,,0,1
2020/3/8 8:00:00,6.1,8,1,1.0,0,8,1,2.0,8,ñk,8,1,1017.2,8,1,97,8,1,9.1,8,1,,0,1,,0,1
2020/3/8 9:00:00,6.0,8,1,1.0,0,8,1,2.2,8,ñkñkêº,8,1,1018.0,8,1,96,8,1,9.0,8,1,10,8,1,10,8,1
2020/3/8 10:00:00,6.5,8,1,1.5,0,8,1,1.5,8,ñkñkêº,8,1,1017.5,8,1,97,8,1,9.4,8,1,,0,1,,0,1
2020/3/8 11:00:00,6.7,8,1,0.5,0,8,1,2.4,8,ñkêº,8,1,1017.0,8,1,96,8,1,9.4,8,1,,0,1,,0,1
2020/3/8 12:00:00,7.2,8,1,0.5,0,8,1,2.4,8,ñkñkêº,8,1,1015.6,8,1,97,8,1,9.9,8,1,10,8,1,10,8,1
2020/3/8 13:00:00,7.5,8,1,0.0,0,8,1,1.9,8,ñkñkêº,8,1,1014.9,8,1,93,8,1,9.6,8,1,,0,1,,0,1
2020/3/8 14:00:00,7.7,8,1,0.0,0,8,1,2.4,8,ñk,8,1,1013.8,8,1,91,8,1,9.6,8,1,,0,1,,0,1
2020/3/8 15:00:00,8.1,8,1,0.0,0,8,1,1.6,8,ñkñkêº,8,1,1013.8,8,1,93,8,1,10.0,8,1,10,8,1,10,8,1
2020/3/8 16:00:00,8.2,8,1,0.5,0,8,1,2.6,8,ñkñkêº,8,1,1013.9,8,1,94,8,1,10.2,8,1,,0,1,,0,1
2020/3/8 17:00:00,8.2,8,1,0.5,0,8,1,2.6,8,ñkñkêº,8,1,1013.5,8,1,97,8,1,10.5,8,1,,0,1,,0,1
2020/3/8 18:00:00,8.4,8,1,0.0,0,8,1,1.7,8,ñkñkêº,8,1,1012.6,8,1,94,8,1,10.4,8,1,4,8,1,10,8,1
2020/3/8 19:00:00,8.7,8,1,0,1,8,1,2.5,8,ñk,8,1,1013.5,8,1,93,8,1,10.5,8,1,,0,1,,0,1
2020/3/8 20:00:00,8.7,8,1,0,1,8,1,2.7,8,ñkñkêº,8,1,1013.3,8,1,92,8,1,10.3,8,1,,0,1,,0,1
2020/3/8 21:00:00,8.7,8,1,0,1,8,1,2.6,8,ñkñkìå,8,1,1013.7,8,1,88,8,1,9.9,8,1,4,8,1,10-,8,1
2020/3/8 22:00:00,8.0,8,1,0,1,8,1,3.5,8,ñkñkêº,8,1,1014.2,8,1,88,8,1,9.4,8,1,,0,1,,0,1
2020/3/8 23:00:00,8.0,8,1,0,1,8,1,3.0,8,ñk,8,1,1014.2,8,1,89,8,1,9.5,8,1,,0,1,,0,1
2020/3/9 00:00:00,8.1,8,1,0,1,8,1,2.5,8,ñkñkêº,8,1,1014.3,8,1,86,8,1,9.3,8,1,,0,1,,0,1
2020/3/9 1:00:00,8.1,8,1,0,1,8,1,3.4,8,ñkñkêº,8,1,1014.5,8,1,87,8,1,9.4,8,1,,0,1,,0,1
2020/3/9 2:00:00,8.6,8,1,0,1,8,1,3.5,8,ñkñkêº,8,1,1014.4,8,1,85,8,1,9.5,8,1,,0,1,,0,1
2020/3/9 3:00:00,8.2,8,1,0,1,8,1,2.2,8,ñk,8,1,1013.8,8,1,86,8,1,9.4,8,1,2,8,1,6,8,1
2020/3/9 4:00:00,8.0,8,1,0,1,8,1,3.4,8,ñkñkêº,8,1,1013.6,8,1,86,8,1,9.2,8,1,,0,1,,0,1
2020/3/9 5:00:00,8.8,8,1,0,1,8,1,3.9,8,ñkñkêº,8,1,1013.9,8,1,81,8,1,9.2,8,1,,0,1,,0,1
2020/3/9 6:00:00,8.4,8,1,0,1,8,1,2.6,8,ñkñkêº,8,1,1014.3,8,1,84,8,1,9.3,8,1,2,8,1,4,8,1
2020/3/9 7:00:00,9.1,8,1,0,1,8,1,3.1,8,ñk,8,1,1014.1,8,1,83,8,1,9.6,8,1,,0,1,,0,1
2020/3/9 8:00:00,10.1,8,1,0,1,8,1,4.1,8,ñkñkêº,8,1,1014.8,8,1,79,8,1,9.8,8,1,,0,1,,0,1
2020/3/9 9:00:00,10.2,8,1,0,1,8,1,4.1,8,ñkñkêº,8,1,1015.6,8,1,78,8,1,9.7,8,1,4,8,1,10-,8,1
2020/3/9 10:00:00,11.8,8,1,0,1,8,1,2.4,8,ñkñkêº,8,1,1015.6,8,1,75,8,1,10.4,8,1,,0,1,,0,1
2020/3/9 11:00:00,13.5,8,1,0,1,8,1,3.4,8,ñkñkêº,8,1,1015.3,8,1,72,8,1,11.1,8,1,,0,1,,0,1
2020/3/9 12:00:00,15.6,8,1,0.0,0,8,1,2.3,8,ñk,8,1,1014.5,8,1,69,8,1,12.2,8,1,4,8,1,9,8,1
2020/3/9 13:00:00,17.9,8,1,0.0,0,8,1,2.7,8,ñkñkêº,8,1,1013.5,8,1,68,8,1,13.9,8,1,,0,1,,0,1
2020/3/9 14:00:00,19.2,8,1,0,1,8,1,2.8,8,ñkñkìå,8,1,1012.7,8,1,65,8,1,14.5,8,1,,0,1,,0,1
2020/3/9 15:00:00,18.9,8,1,0,1,8,1,2.8,8,ñkñkìå,8,1,1012.2,8,1,64,8,1,14.0,8,1,2,8,1,4,8,1
2020/3/9 16:00:00,18.6,8,1,0,1,8,1,3.1,8,ñkñkìå,8,1,1012.0,8,1,64,8,1,13.7,8,1,,0,1,,0,1
2020/3/9 17:00:00,17.5,8,1,0,1,8,1,2.0,8,ñkìå,8,1,1012.8,8,1,70,8,1,14.0,8,1,,0,1,,0,1
2020/3/9 18:00:00,17.1,8,1,0,1,8,1,2.5,8,ìåñkìå,8,1,1013.5,8,1,74,8,1,14.4,8,1,4,8,1,10-,8,1
2020/3/9 19:00:00,15.9,8,1,0,1,8,1,2.4,8,ìåñkìå,8,1,1013.8,8,1,81,8,1,14.6,8,1,,0,1,,0,1
2020/3/9 20:00:00,15.0,8,1,0,1,8,1,2.9,8,ñkìå,8,1,1013.4,8,1,86,8,1,14.7,8,1,,0,1,,0,1
2020/3/9 21:00:00,13.8,8,1,0,1,8,1,2.8,8,ñkìå,8,1,1013.3,8,1,90,8,1,14.2,8,1,3,8,1,10-,8,1
2020/3/9 22:00:00,13.5,8,1,0,1,8,1,2.4,8,ñkñkìå,8,1,1012.8,8,1,91,8,1,14.1,8,1,,0,1,,0,1
2020/3/9 23:00:00,13.4,8,1,0,1,8,1,2.3,8,ñkñkìå,8,1,1012.0,8,1,91,8,1,14.0,8,1,,0,1,,0,1
2020/3/10 00:00:00,13.3,8,1,0,1,8,1,1.6,8,ñkìå,8,1,1012.2,8,1,93,8,1,14.2,8,1,,0,1,,0,1
2020/3/10 1:00:00,13.1,8,1,0,1,8,1,1.8,8,ñk,8,1,1011.5,8,1,96,8,1,14.5,8,1,,0,1,,0,1
2020/3/10 2:00:00,12.9,8,1,0,1,8,1,0.8,8,ñk,8,1,1010.9,8,1,97,8,1,14.4,8,1,,0,1,,0,1
2020/3/10 3:00:00,12.6,8,1,0.0,0,8,1,1.2,8,ñkñkìå,8,1,1010.0,8,1,99,8,1,14.4,8,1,4,8,1,10,8,1
2020/3/10 4:00:00,12.8,8,1,0.0,0,8,1,0.8,8,ñkñkìå,8,1,1009.3,8,1,99,8,1,14.6,8,1,,0,1,,0,1
2020/3/10 5:00:00,12.8,8,1,0.5,0,8,1,0.9,8,ñkñkêº,8,1,1008.9,8,1,100,8,1,14.8,8,1,,0,1,,0,1
2020/3/10 6:00:00,12.9,8,1,0.0,0,8,1,1.7,8,ñkìå,8,1,1007.9,8,1,99,8,1,14.7,8,1,4,8,1,10,8,1
2020/3/10 7:00:00,13.0,8,1,0.0,0,8,1,2.1,8,ñkñkìå,8,1,1007.1,8,1,100,8,1,15.0,8,1,,0,1,,0,1
2020/3/10 8:00:00,13.5,8,1,0.0,0,8,1,1.9,8,ñkìå,8,1,1006.1,8,1,98,8,1,15.2,8,1,,0,1,,0,1
2020/3/10 9:00:00,13.7,8,1,2.0,0,8,1,0.4,8,ñk,8,1,1006.6,8,1,100,8,1,15.7,8,1,10,8,1,10,8,1
2020/3/10 10:00:00,13.8,8,1,0.5,0,8,1,0.9,8,ñkìå,8,1,1004.9,8,1,99,8,1,15.6,8,1,,0,1,,0,1
2020/3/10 11:00:00,14.6,8,1,0.0,0,8,1,1.2,8,ñkìå,8,1,1003.4,8,1,96,8,1,16.0,8,1,,0,1,,0,1
2020/3/10 12:00:00,14.9,8,1,0.0,0,8,1,0.8,8,ñkìå,8,1,1001.7,8,1,96,8,1,16.3,8,1,10,8,1,10,8,1
2020/3/10 13:00:00,15.4,8,1,0.0,0,8,1,0.9,8,êº,8,1,999.2,8,1,97,8,1,17.0,8,1,,0,1,,0,1
2020/3/10 14:00:00,15.4,8,1,2.5,0,8,1,2.5,8,ìÏìÏìå,8,1,998.0,8,1,98,8,1,17.1,8,1,,0,1,,0,1
2020/3/10 15:00:00,15.7,8,1,2.5,0,8,1,3.0,8,ìÏìÏìå,8,1,996.8,8,1,99,8,1,17.7,8,1,10,8,1,10,8,1
2020/3/10 16:00:00,15.7,8,1,0.0,0,8,1,4.0,8,ìÏ,8,1,996.5,8,1,98,8,1,17.5,8,1,,0,1,,0,1
2020/3/10 17:00:00,15.5,8,1,1.5,0,8,1,3.2,8,ìÏìÏìå,8,1,994.4,8,1,98,8,1,17.3,8,1,,0,1,,0,1
2020/3/10 18:00:00,15.1,8,1,7.0,0,8,1,3.2,8,ìÏìå,8,1,993.6,8,1,99,8,1,17.0,8,1,10,8,1,10,8,1
2020/3/10 19:00:00,15.7,8,1,5.5,0,8,1,4.5,8,ìÏìå,8,1,991.6,8,1,99,8,1,17.7,8,1,,0,1,,0,1
2020/3/10 20:00:00,16.6,8,1,2.5,0,8,1,4.7,8,ìÏ,8,1,990.1,8,1,100,8,1,18.9,8,1,,0,1,,0,1
2020/3/10 21:00:00,16.2,8,1,0,1,8,1,6.1,8,ìÏ,8,1,989.4,8,1,96,8,1,17.7,8,1,1,8,1,0+,8,1
2020/3/10 22:00:00,16.4,8,1,0,1,8,1,4.2,8,ìÏ,8,1,988.9,8,1,95,8,1,17.7,8,1,,0,1,,0,1
2020/3/10 23:00:00,17.5,8,1,0,1,8,1,5.2,8,ìÏ,8,1,988.3,8,1,90,8,1,18.0,8,1,,0,1,,0,1
2020/3/11 00:00:00,18.0,8,1,0,1,8,1,3.8,8,ìÏ,8,1,987.8,8,1,86,8,1,17.8,8,1,,0,1,,0,1
2020/3/11 1:00:00,15.3,8,1,0,1,8,1,2.2,8,êºñkêº,8,1,988.1,8,1,97,8,1,16.9,8,1,,0,1,,0,1
2020/3/11 2:00:00,14.1,8,1,0,1,8,1,2.0,8,ñk,8,1,988.9,8,1,100,8,1,16.1,8,1,,0,1,,0,1
2020/3/11 3:00:00,13.9,8,1,0,1,8,1,1.7,8,ñkñkìå,8,1,988.8,8,1,100,8,1,15.9,8,1,4,8,1,9,8,1
2020/3/11 4:00:00,13.0,8,1,0,1,8,1,0.7,8,ñkêº,8,1,990.0,8,1,100,8,1,15.0,8,1,,0,1,,0,1
2020/3/11 5:00:00,13.4,8,1,0,1,8,1,0.0,8,ê√â∏,8,1,991.0,8,1,100,8,1,15.4,8,1,,0,1,,0,1
2020/3/11 6:00:00,13.5,8,1,0,1,8,1,3.0,8,êºñkêº,8,1,992.4,8,1,85,8,1,13.2,8,1,2,8,1,5,8,1
2020/3/11 7:00:00,13.7,8,1,0,1,8,1,3.9,8,ñkêº,8,1,994.0,8,1,69,8,1,10.8,8,1,,0,1,,0,1
2020/3/11 8:00:00,14.9,8,1,0,1,8,1,4.9,8,ñkêº,8,1,995.4,8,1,57,8,1,9.7,8,1,,0,1,,0,1
2020/3/11 9:00:00,16.3,8,1,0,1,8,1,3.4,8,ñkêº,8,1,996.6,8,1,50,8,1,9.3,8,1,1,8,1,0+,8,1
2020/3/11 10:00:00,17.4,8,1,0,1,8,1,3.9,8,ñkñkêº,8,1,996.8,8,1,43,8,1,8.5,8,1,,0,1,,0,1
2020/3/11 11:00:00,18.0,8,1,0,1,8,1,4.5,8,ñkêº,8,1,997.3,8,1,43,8,1,8.9,8,1,,0,1,,0,1
2020/3/11 12:00:00,19.5,8,1,0,1,8,1,3.9,8,êºñkêº,8,1,997.3,8,1,37,8,1,8.4,8,1,1,8,1,0+,8,1
2020/3/11 13:00:00,20.0,8,1,0,1,8,1,1.7,8,ñkêº,8,1,997.0,8,1,37,8,1,8.7,8,1,,0,1,,0,1
2020/3/11 14:00:00,20.4,8,1,0,1,8,1,2.6,8,ìÏìÏìå,8,1,996.7,8,1,34,8,1,8.2,8,1,,0,1,,0,1
2020/3/11 15:00:00,18.4,8,1,0.0,0,8,1,2.9,8,ìÏìÏìå,8,1,997.3,8,1,40,8,1,8.5,8,1,10,8,1,8,8,1
2020/3/11 16:00:00,17.4,8,1,0.0,0,8,1,3.1,8,ìÏìÏìå,8,1,997.9,8,1,49,8,1,9.7,8,1,,0,1,,0,1
2020/3/11 17:00:00,16.7,8,1,0.0,0,8,1,1.7,8,ìÏ,8,1,998.8,8,1,60,8,1,11.4,8,1,,0,1,,0,1
2020/3/11 18:00:00,14.9,8,1,0,1,8,1,1.8,8,ìÏìÏìå,8,1,999.7,8,1,61,8,1,10.3,8,1,2,8,1,6,8,1
2020/3/11 19:00:00,16.4,8,1,0,1,8,1,4.8,8,ñkñkêº,8,1,1001.4,8,1,36,8,1,6.7,8,1,,0,1,,0,1
2020/3/11 20:00:00,14.7,8,1,0,1,8,1,4.9,8,ñkêº,8,1,1003.4,8,1,39,8,1,6.5,8,1,,0,1,,0,1
2020/3/11 21:00:00,13.5,8,1,0,1,8,1,4.5,8,ñkñkêº,8,1,1005.0,8,1,41,8,1,6.3,8,1,2,8,1,8,8,1
2020/3/11 22:00:00,12.1,8,1,0,1,8,1,5.2,8,ñk,8,1,1006.4,8,1,39,8,1,5.5,8,1,,0,1,,0,1
2020/3/11 23:00:00,10.9,8,1,0,1,8,1,6.4,8,ñkêº,8,1,1007.3,8,1,41,8,1,5.3,8,1,,0,1,,0,1
2020/3/12 00:00:00,9.8,8,1,0,1,8,1,4.1,8,ñkêº,8,1,1008.5,8,1,45,8,1,5.5,8,1,,0,1,,0,1
2020/3/12 1:00:00,9.0,8,1,0,1,8,1,4.5,8,ñkêº,8,1,1009.7,8,1,47,8,1,5.4,8,1,,0,1,,0,1
2020/3/12 2:00:00,8.8,8,1,0,1,8,1,4.4,8,ñkêº,8,1,1010.6,8,1,45,8,1,5.1,8,1,,0,1,,0,1
2020/3/12 3:00:00,8.4,8,1,0,1,8,1,4.6,8,ñkêº,8,1,1011.7,8,1,47,8,1,5.2,8,1,1,8,1,0+,8,1
2020/3/12 4:00:00,8.0,8,1,0,1,8,1,4.9,8,ñkêº,8,1,1012.6,8,1,48,8,1,5.1,8,1,,0,1,,0,1
2020/3/12 5:00:00,7.7,8,1,0,1,8,1,4.0,8,ñkñkêº,8,1,1013.9,8,1,47,8,1,4.9,8,1,,0,1,,0,1
2020/3/12 6:00:00,7.5,8,1,0,1,8,1,3.7,8,ñkêº,8,1,1014.8,8,1,47,8,1,4.9,8,1,1,8,1,0+,8,1
2020/3/12 7:00:00,7.9,8,1,0,1,8,1,3.7,8,ñkñkêº,8,1,1016.1,8,1,44,8,1,4.7,8,1,,0,1,,0,1
2020/3/12 8:00:00,9.8,8,1,0,1,8,1,3.6,8,ñkñkêº,8,1,1017.2,8,1,41,8,1,5.0,8,1,,0,1,,0,1
2020/3/12 9:00:00,11.4,8,1,0,1,8,1,3.7,8,ñk,8,1,1018.1,8,1,34,8,1,4.6,8,1,1,8,1,0+,8,1
2020/3/12 10:00:00,12.3,8,1,0,1,8,1,4.8,8,ñkñkêº,8,1,1018.1,8,1,31,8,1,4.4,8,1,,0,1,,0,1
2020/3/12 11:00:00,13.5,8,1,0,1,8,1,4.0,8,ñkêº,8,1,1018.4,8,1,29,8,1,4.5,8,1,,0,1,,0,1
2020/3/12 12:00:00,13.8,8,1,0,1,8,1,2.4,8,ñkìå,8,1,1017.9,8,1,29,8,1,4.6,8,1,2,8,1,6,8,1
2020/3/12 13:00:00,15.3,8,1,0,1,8,1,0.9,8,ìÏ,8,1,1017.1,8,1,30,8,1,5.2,8,1,,0,1,,0,1
2020/3/12 14:00:00,15.6,8,1,0,1,8,1,2.6,8,ìÏìÏìå,8,1,1017.1,8,1,29,8,1,5.1,8,1,,0,1,,0,1
2020/3/12 15:00:00,14.9,8,1,0,1,8,1,4.2,8,ìÏìÏìå,8,1,1017.4,8,1,33,8,1,5.6,8,1,1,8,1,1,8,1
2020/3/12 16:00:00,14.6,8,1,0,1,8,1,5.5,8,ìÏ,8,1,1017.5,8,1,36,8,1,6.0,8,1,,0,1,,0,1
2020/3/12 17:00:00,13.9,8,1,0,1,8,1,5.8,8,ìÏ,8,1,1018.1,8,1,44,8,1,7.0,8,1,,0,1,,0,1
2020/3/12 18:00:00,12.8,8,1,0,1,8,1,4.9,8,ìÏìå,8,1,1017.9,8,1,46,8,1,6.8,8,1,1,8,1,1,8,1
2020/3/12 19:00:00,12.1,8,1,0,1,8,1,4.9,8,ìÏìå,8,1,1019.1,8,1,67,8,1,9.5,8,1,,0,1,,0,1
2020/3/12 20:00:00,11.6,8,1,0,1,8,1,5.3,8,ìÏìå,8,1,1019.9,8,1,72,8,1,9.8,8,1,,0,1,,0,1
2020/3/12 21:00:00,11.5,8,1,0,1,8,1,3.0,8,ìÏìå,8,1,1020.1,8,1,73,8,1,9.9,8,1,2,8,1,3,8,1
2020/3/12 22:00:00,11.6,8,1,0,1,8,1,3.7,8,ìÏìå,8,1,1020.0,8,1,72,8,1,9.8,8,1,,0,1,,0,1
2020/3/12 23:00:00,10.9,8,1,0,1,8,1,1.9,8,ìÏìå,8,1,1019.3,8,1,79,8,1,10.3,8,1,,0,1,,0,1
2020/3/13 00:00:00,9.7,8,1,0,1,8,1,1.7,8,ìÏìå,8,1,1018.5,8,1,85,8,1,10.2,8,1,,0,1,,0,1
2020/3/13 1:00:00,9.4,8,1,0,1,8,1,1.3,8,ìÏìå,8,1,1018.0,8,1,89,8,1,10.5,8,1,,0,1,,0,1
2020/3/13 2:00:00,9.7,8,1,0,1,8,1,4.0,8,êºñkêº,8,1,1018.2,8,1,82,8,1,9.9,8,1,,0,1,,0,1
2020/3/13 3:00:00,8.4,8,1,0,1,8,1,3.0,8,êºñkêº,8,1,1017.8,8,1,81,8,1,8.9,8,1,3,8,1,10-,8,1
2020/3/13 4:00:00,8.1,8,1,0,1,8,1,1.9,8,ñkñkêº,8,1,1017.6,8,1,80,8,1,8.6,8,1,,0,1,,0,1
2020/3/13 5:00:00,7.0,8,1,0,1,8,1,1.5,8,êºñkêº,8,1,1017.4,8,1,84,8,1,8.4,8,1,,0,1,,0,1
2020/3/13 6:00:00,7.2,8,1,0,1,8,1,2.2,8,êºñkêº,8,1,1016.7,8,1,84,8,1,8.5,8,1,3,8,1,10-,8,1
2020/3/13 7:00:00,9.1,8,1,0,1,8,1,0.8,8,êºìÏêº,8,1,1016.8,8,1,78,8,1,9.0,8,1,,0,1,,0,1
2020/3/13 8:00:00,10.5,8,1,0,1,8,1,1.5,8,êºñkêº,8,1,1016.9,8,1,71,8,1,9.0,8,1,,0,1,,0,1
2020/3/13 9:00:00,12.2,8,1,0,1,8,1,1.8,8,êº,8,1,1016.6,8,1,65,8,1,9.2,8,1,3,8,1,10-,8,1
2020/3/13 10:00:00,13.5,8,1,0,1,8,1,2.8,8,ìÏìÏìå,8,1,1014.9,8,1,62,8,1,9.6,8,1,,0,1,,0,1
2020/3/13 11:00:00,13.8,8,1,0,1,8,1,3.2,8,ìÏìÏìå,8,1,1014.0,8,1,60,8,1,9.5,8,1,,0,1,,0,1
2020/3/13 12:00:00,15.6,8,1,0,1,8,1,3.0,8,ìÏìå,8,1,1011.9,8,1,50,8,1,8.9,8,1,3,8,1,10-,8,1
2020/3/13 13:00:00,17.5,8,1,0,1,8,1,3.6,8,ìÏìå,8,1,1010.2,8,1,48,8,1,9.6,8,1,,0,1,,0,1
2020/3/13 14:00:00,17.1,8,1,0,1,8,1,4.4,8,ìÏ,8,1,1009.2,8,1,39,8,1,7.6,8,1,,0,1,,0,1
2020/3/13 15:00:00,17.9,8,1,0,1,8,1,2.5,8,ìÏêº,8,1,1008.6,8,1,34,8,1,7.0,8,1,3,8,1,10-,8,1
2020/3/13 16:00:00,17.2,8,1,0,1,8,1,5.0,8,ìÏ,8,1,1008.1,8,1,37,8,1,7.3,8,1,,0,1,,0,1
2020/3/13 17:00:00,16.4,8,1,0,1,8,1,2.4,8,ìÏ,8,1,1007.8,8,1,42,8,1,7.8,8,1,,0,1,,0,1
2020/3/13 18:00:00,15.6,8,1,0,1,8,1,2.9,8,ìÏìÏêº,8,1,1008.1,8,1,44,8,1,7.8,8,1,4,8,1,10-,8,1
2020/3/13 19:00:00,14.1,8,1,0,1,8,1,2.0,8,ìÏìÏìå,8,1,1008.3,8,1,50,8,1,8.0,8,1,,0,1,,0,1
2020/3/13 20:00:00,12.4,8,1,0,1,8,1,1.3,8,ìÏêº,8,1,1008.3,8,1,59,8,1,8.5,8,1,,0,1,,0,1
2020/3/13 21:00:00,11.8,8,1,0,1,8,1,1.7,8,êºìÏêº,8,1,1008.6,8,1,63,8,1,8.7,8,1,1,8,1,0,8,1
2020/3/13 22:00:00,11.5,8,1,0,1,8,1,1.5,8,ñkêº,8,1,1008.7,8,1,66,8,1,9.0,8,1,,0,1,,0,1
2020/3/13 23:00:00,11.4,8,1,0,1,8,1,3.7,8,ñkêº,8,1,1008.3,8,1,67,8,1,9.0,8,1,,0,1,,0,1
2020/3/14 00:00:00,12.0,8,1,0,1,8,1,2.4,8,ñkñkêº,8,1,1008.4,8,1,57,8,1,8.0,8,1,,0,1,,0,1
2020/3/14 1:00:00,11.1,8,1,0,1,8,1,2.0,8,ñk,8,1,1008.6,8,1,60,8,1,7.9,8,1,,0,1,,0,1
2020/3/14 2:00:00,10.7,8,1,0,1,8,1,3.8,8,ìåñkìå,8,1,1009.3,8,1,72,8,1,9.3,8,1,,0,1,,0,1
2020/3/14 3:00:00,9.7,8,1,0,1,8,1,4.7,8,ñkìå,8,1,1009.1,8,1,79,8,1,9.5,8,1,2,8,1,7,8,1
2020/3/14 4:00:00,9.2,8,1,0,1,8,1,3.9,8,ñkìå,8,1,1009.3,8,1,79,8,1,9.2,8,1,,0,1,,0,1
2020/3/14 5:00:00,9.1,8,1,0,1,8,1,3.5,8,ìåñkìå,8,1,1009.1,8,1,78,8,1,9.0,8,1,,0,1,,0,1
2020/3/14 6:00:00,8.8,8,1,0,1,8,1,3.7,8,ìåñkìå,8,1,1009.4,8,1,76,8,1,8.6,8,1,4,8,1,10-,8,1
2020/3/14 7:00:00,8.7,8,1,0,1,8,1,3.6,8,ñkìå,8,1,1009.6,8,1,76,8,1,8.5,8,1,,0,1,,0,1
2020/3/14 8:00:00,8.6,8,1,0.0,0,8,1,4.2,8,ñkìå,8,1,1009.4,8,1,75,8,1,8.4,8,1,,0,1,,0,1
2020/3/14 9:00:00,7.2,8,1,1.0,0,8,1,3.4,8,ñkìå,8,1,1009.7,8,1,90,8,1,9.1,8,1,10,8,1,10,8,1
2020/3/14 10:00:00,6.5,8,1,1.5,0,8,1,4.6,8,ñkìå,8,1,1008.5,8,1,92,8,1,8.9,8,1,,0,1,,0,1
2020/3/14 11:00:00,5.7,8,1,2.0,0,8,1,4.2,8,ñkìå,8,1,1007.5,8,1,91,8,1,8.3,8,1,,0,1,,0,1
2020/3/14 12:00:00,4.8,8,1,3.0,0,8,1,4.9,8,ñkñkìå,8,1,1006.2,8,1,92,8,1,7.9,8,1,10,8,1,10,8,1
2020/3/14 13:00:00,3.8,8,1,4.0,0,8,1,3.6,8,ñkñkìå,8,1,1005.8,8,1,95,8,1,7.6,8,1,,0,1,,0,1
2020/3/14 14:00:00,2.5,8,1,4.0,0,8,1,2.5,8,ñk,8,1,1004.7,8,1,95,8,1,6.9,8,1,,0,1,,0,1
2020/3/14 15:00:00,1.9,8,1,3.5,0,8,1,3.1,8,ñkêº,8,1,1003.5,8,1,97,8,1,6.8,8,1,12,8,1,10,8,1
2020/3/14 16:00:00,1.7,8,1,2.0,0,8,1,3.1,8,ñkñkêº,8,1,1004.0,8,1,98,8,1,6.8,8,1,,0,1,,0,1
2020/3/14 17:00:00,1.4,8,1,2.0,0,8,1,2.4,8,ñkñkêº,8,1,1003.3,8,1,98,8,1,6.6,8,1,,0,1,,0,1
2020/3/14 18:00:00,1.9,8,1,1.0,0,8,1,3.2,8,ñkñkêº,8,1,1003.2,8,1,98,8,1,6.9,8,1,10,8,1,10,8,1
2020/3/14 19:00:00,2.2,8,1,0.5,0,8,1,3.0,8,ñkñkêº,8,1,1003.4,8,1,97,8,1,6.9,8,1,,0,1,,0,1
2020/3/14 20:00:00,3.2,8,1,0.5,0,8,1,2.4,8,ñkñkêº,8,1,1002.9,8,1,96,8,1,7.4,8,1,,0,1,,0,1
2020/3/14 21:00:00,3.5,8,1,0.0,0,8,1,2.2,8,ñk,8,1,1002.3,8,1,97,8,1,7.6,8,1,4,8,1,10-,8,1
